Date & Time,use [kW],gen [kW],old usage [kW],Home office [kW],Dining room [kW],Microwave [kW],First floor [kW],Tub Whirpool [kW],Kitchen counter [kW],Dishwasher [kW],Fridge [kW],Guest Bedroom / Media Room [kW],MBed KBed Lights &amp;  MasterBath  [kW],Living room &amp; Kitchen Lights [kW],Bath GFI (1st &amp; 2nd floor bath) [kW]
2014-01-01 00:00:00,0.0,0.0,0.100152778,0.057643889,0.003314444,0.003752778,0.027646667,0.000501111,3e-05,0.001473889,0.042588889,0.042508889,0.040420556,0.013937778,0.016552222
2014-01-01 00:30:00,0.0,0.0,0.09686,0.058620556,0.002619444,0.003474444,0.014339444,0.000423889,5.3333e-05,0.001610556,0.096007778,0.038239444,0.028463889,0.002949444,0.016037778
2014-01-01 01:00:00,0.0,0.0,0.083198333,0.059088333,0.002566667,0.003436111,0.014335,0.000567222,7.7222e-05,0.001442222,0.025927778,0.02411,0.02139,0.002107778,0.008207778
2014-01-01 01:30:00,0.0,0.0,0.082546111,0.059828333,0.002597778,0.003453333,0.014300556,0.000402778,4.5e-05,0.00164,0.105471667,0.022717778,0.020522222,0.000733333,0.01666
2014-01-01 02:00:00,0.0,0.0,0.079353889,0.057501667,0.003192222,0.003723889,0.01415,0.000571667,8.3889e-05,0.001398333,0.016797778,0.021852222,0.018554444,0.000443889,0.008237222
2014-01-01 02:30:00,0.0,0.0,0.07988,0.058089444,0.003082222,0.003691111,0.014299444,0.000412222,5.5e-05,0.00162,0.106736667,0.021790556,0.017644444,0.000205,0.01654
2014-01-01 03:00:00,0.0,0.0,0.081578333,0.059579444,0.002446111,0.003423333,0.014413333,0.000605556,8.0556e-05,0.001398889,0.00646,0.021998889,0.017508333,0.000567222,0.008300556
2014-01-01 03:30:00,0.0,0.0,0.080095556,0.057503333,0.003367222,0.003786111,0.014156111,0.000422222,6.5556e-05,0.001640556,0.121087778,0.022592222,0.017316111,6.3889e-05,0.016344444
2014-01-01 04:00:00,0.0,0.0,0.085885,0.064049444,0.003482222,0.003850556,0.013988889,0.000617778,9.6667e-05,0.001370556,0.011131111,0.021835556,0.017446111,0.000308889,0.008281111
2014-01-01 04:30:00,0.0,0.0,0.080655,0.058761111,0.002910556,0.003587222,0.014148333,0.000445556,4.4444e-05,0.001610556,0.104737222,0.021893889,0.017186667,0.000283889,0.016102778
2014-01-01 05:00:00,0.0,0.0,0.081370556,0.058711667,0.002719444,0.003526667,0.014167222,0.000525556,1.111e-06,0.001476111,0.064127222,0.022658889,0.017143889,0.000253889,0.008238889
2014-01-01 05:30:00,0.0,0.0,0.079723333,0.058005556,0.003130556,0.003713333,0.014172778,0.000298889,0.000163333,0.001678333,0.170720556,0.021717778,0.017366111,6.667e-06,0.016323889
2014-01-01 06:00:00,0.0,0.0,0.078906111,0.057248889,0.003497222,0.003887778,0.014162222,0.000368333,0.000113333,0.001690556,0.154780556,0.021657222,0.017187778,0.000159444,0.008119444
2014-01-01 06:30:00,0.0,0.0,0.080183889,0.058286667,0.003217222,0.003778889,0.014144444,0.000517222,1.6111e-05,0.001518333,0.066638333,0.021897222,0.017388889,0.000276667,0.016747222
2014-01-01 07:00:00,0.0,0.0,0.080856667,0.058807222,0.003585556,0.174397222,0.007979444,0.000578889,4.1667e-05,0.06225,0.09032,0.022049444,0.017081111,0.044570556,0.016174444
2014-01-01 07:30:00,0.0,0.0,0.085157778,0.062755556,0.002575,0.029748333,0.002812222,0.001931667,0.000775,0.682920556,0.041163333,0.022402222,0.116587222,0.062487778,0.009909444
2014-01-01 08:00:00,0.0,0.0,0.121831667,0.061836111,0.001836111,0.003121111,0.002223889,0.002129444,0.207513889,0.665561111,0.142748333,0.059995556,0.055110556,0.042492778,0.018088889
2014-01-01 08:30:00,0.0,0.0,0.118859444,0.058554444,0.003212222,0.636211667,0.001893333,0.001017778,0.013926111,0.295033889,0.154955556,0.060305,0.050820556,0.059476111,0.018047222
2014-01-01 09:00:00,0.0,0.0,0.184771111,0.061236111,0.003890556,0.004058889,0.002657778,0.000419444,8e-05,0.001662778,0.146329444,0.123535,0.169877222,0.094448333,0.008332222
2014-01-01 09:30:00,0.0,0.0,0.152556667,0.075949444,0.003496111,0.014003889,0.002681111,0.00043,7.0556e-05,0.001644444,0.133807778,0.076607222,0.153703333,0.082553889,0.016679444
2014-01-01 10:00:00,0.0,0.0,0.123072778,0.065653889,0.0065,0.003722222,0.002181667,0.001448889,0.0005,0.420692222,0.017681667,0.057418889,0.113799444,0.053524444,0.018041111
2014-01-01 10:30:00,0.0,0.0,0.290405,0.112637222,0.002995556,0.003102222,0.091121667,0.001617222,0.000530556,0.602358889,0.111281667,0.177767778,0.038301111,0.00834,0.018520556
2014-01-01 11:00:00,0.0,0.0,0.231269444,0.060800556,0.002899444,0.003555556,0.001928333,0.001134444,0.000363333,0.336915556,0.079569444,0.170468889,0.016858333,0.00031,0.009004444
2014-01-01 11:30:00,0.0,0.0,0.080861111,0.060530556,0.003633333,0.098491111,0.00217,0.000592222,5.6111e-05,0.041460556,0.072171111,0.020330556,0.016697778,0.010066667,0.016546667
2014-01-01 12:00:00,0.0,0.0,0.079732222,0.060396111,0.003992778,0.107626111,0.002581111,0.000536111,1.7222e-05,0.001493889,0.084595556,0.019336111,0.016815556,0.021958889,0.017393889
